"Stadtbezirk";"u_intervall_1";"o_intervall_1";"mean_1";"median_1"
"Bad Cannstatt";13037,013266299;17795,5412611663;15125,5233202286;15011,1224759377
"Birkach";1467,73403637428;2025,32088307627;1726,69736850718;1720,95649483059
"Botnang";2690,80079565373;3734,40628435077;3146,52159021352;3115,28952973141
"Degerloch";3809,53007024756;5134,68171914491;4387,27303118339;4367,0582399823
"Feuerbach";5511,15501498528;7763,14105472773;6513,76640123;6486,60136414066
"Hedelfingen";1907,53801635771;2674,71524163495;2261,15177160122;2245,15300371956
"Mitte";5768,95428089909;7402,98203545736;6467,22328054279;6432,77357362439
"Möhringen";6636,63088888225;9088,00073627696;7759,44818894894;7736,20579046235
"Mühlhausen";4365,057477858;6916,82539265119;5461,03484364461;5392,36093528677
"Münster";1182,81900282491;1651,34023091331;1392,49269702646;1383,04014763812
"Nord";5805,33648156303;7676,21004122847;6586,07398528851;6522,08365160457
"Obertürkheim";1696,05301733953;2502,59485271844;2038,49676005935;2019,36670916577
"Ost";10192,9888498914;13736,5548597534;11845,5497812903;11798,1385045532
"Plieningen";2698,26443020091;4044,31115313485;3365,16823325431;3352,21625862469
"Sillenbuch";4730,9581221213;6549,64472421768;5557,46680289003;5524,8134719275
"Stammheim";1915,39769186822;3199,90041404444;2513,82783589805;2515,36955881288
"Süd";11561,7653116552;14802,7481243919;13005,1016027011;12940,9763373146
"Untertürkheim";3164,17081615034;4426,83418063443;3714,99754547986;3675,48039058992
"Vaihingen";10277,793973391;14249,9149811578;12192,2221094528;12178,1125603889
"Wangen";1709,03664937459;2389,67687056409;2025,52773542647;2011,07356435698
"Weilimdorf";5387,44516002518;8444,31871489901;6886,90551150023;6885,60466943476
"West";13847,3508008271;18290,52353588;15836,0391381045;15745,6402562369
"Zuffenhausen";6405,77376651362;9207,16254154046;7622,85016364742;7579,9483328245
